storeName,description,wholesalers,distributors,name,position,phoneNumber,email,linkedinPage,city,facebookpage,website,phones
ZAGG Christiana Mall,"Supplier of mobile device screen protectors, cases, keyboards, chargers & accessories.",no,yes,N/A,N/A,1 516-554-6935,N/A,N/A," 132 Christiana Mall, Newark, DE 19702, United States",N/A,https://www.zagg.com/en_eu/us/en_us/store-finder,yes
A2 Trading Corp.,"A2 Trading Corp. is a Wholesale Distributor of Cell Phones, Tablets, Drones, Video Game Consoles, Digital Cameras, Computers and Consumer Electronics.",yes,no,Ariel Aharoni,President / CEO,1 (786) 252-9848,sales@a2tradingcorp.com,https://www.linkedin.com/in/arielaharoni/,"6020 NW 99th Ave, Unit #306, Doral, FL 33178, USA",https://www.facebook.com/a2tradingcorp,https://www.a2tradingcorp.com/,yes
Ace Wireless Winter Haven,"Cell phone store in Winter Haven, Florida",no,yes,N/A,N/A,1 863-258-6658,acewireless863@icloud.com,N/A,"1848 1st St N, Winter Haven, FL 33881, United States",N/A,http://www.ace863.com/,yes
BODEGA Premium Cellphone Boutique,"Cell phone store in Haines City, Florida",no,yes,N/A,N/A,1 863-210-8179,marinmobilemedia1@gmail.com,N/A,"344 E Main St, Haines City, FL 33844, United States",N/A,http://buybodega.com/,yes
Buku Wireless,We are a wholesale company that specializes in offering the most popular cell phone accessories for the most popular brands of cell phones and tablets.,yes,no,N/A,N/A,9547072079,bukuwireless@gmail.com,N/A,"4622 Hollywood Blvd, Hollywood,  FL 33021, USA",https://facebook.com/bukuwireless,https://www.bukuwireless.com/,yes
Cell Phone Parts Express,"The primary resource for wholesale cell phone parts, gadgets, tools, and solutions for the mobile repair industry.",yes,no,Alan Jaime,Sales Manager,954-393-0639,orders@cellphonepartsexpress.com,https://www.linkedin.com/in/alan-jaime-967055b3/,"2633 Park Ln, Hallandale Beach, Florida 33009, USA",https://www.facebook.com/CellPhonePartsExpress/,https://cpp-express.com/,yes
Cellular Parts Supply LLC,"Cellular Parts Supply is the worldwide wholesale distributor of repair parts and Accessories compatible with iPhone, iPad, and today's most popular devices. ",no,yes,N/A,N/A,N/A,info@cellularparts.supply,N/A,"11402 NW 41st St #211-624, Doral, FL 33178, United States",N/A,http://www.cellularparts.supply/,yes
"Cellular Wholesales, Inc","We are a wholesale and retail store, focused mostly on Cellphone accessories.",yes,no,Maria Gomez,Sales Executive,1 786-813-8406,contact@cellularwholesales.com,https://www.linkedin.com/in/maria-gomez-a8870b89/,"11401 NW 122nd St, Miami, FL 33178, United States",https://www.facebook.com/cellularwholesales/,https://www.cellularwholesales.com/,yes
CLC Miami,"CLC Miami founded in 1995, it specializes in distribution and export of Apple Iphones, Samsung, ZTE, Huawei and all low end phones.",no,yes,N/A,N/A,1 305.640.1803,sales@clcmiami.com,N/A,"11231 NW, 20 Street suite, 133 Miami, Florida 33172, USA",N/A,https://clcmiami.com/,yes
Digital Tech International,Digital Tech International is a leading global distributor of Wholesale Mobile Phones.,no,yes,Maryleni Riveiro,Account Executive,(305)-500-9611,sales@digitaltechmia.com,https://www.linkedin.com/in/maryleni-riveiro-853158126/,"8286 NW 14 ST | Doral, FL 33126, USA",https://www.facebook.com/Digitaltechmiaa/,https://www.digitaltechmia.com/,yes
Elite Cellular Corp,"We are an American wholesaler and distributor of cell phones, accessories and electronics founded in 2014 in the city of Miami-Florida.",yes,yes,N/A,N/A,17863542425,elitecellcorp@gmail.com,N/A,"3224 NW, 72 Ave, Miami, FL 33122, USA",https://www.facebook.com/EliteCellularCorp/,https://elitecellularcorp.com/,yes
Empire Telecom LLC.,EMPIRE TELECOM LLC. is a is a fast moving cutting edge organization dedicated to the fulfillment and distribution of mobile phones and devices.,no,yes,N/A,N/A,305-888-8485,sales@empiretelecom.net,N/A,"3560 Northwest 72nd Ave., Miami, FL. 33122, United States",https://www.facebook.com/empiretelecomllc/,https://www.empiretelecom.net/,yes
eWireless Inc.,"eWireless is one of the largest distributors in North America for mobile phones and accessories. We carry original and generic accessories for all phones. eWireless, as a company, has proven itself to its loyal customer base for having exceptional customer service and products.",no,yes,Susan Gonzalez,Sales Manager,305.888.2882,info@ewirelessusa.com,https://www.linkedin.com/in/susan-gonzalez-693b25114,"5001 NW 72nd AVE, Doral, FL 33166, USA",N/A,https://ewirelessusa.com/,yes
GoKrazy Wireless,GoKrazy Wireless is South Florida's Leading Wholesale Smart Phone parts distributor.,yes,no,Michael Sinno,CEO,1 954-379-8555,info@gokrazywireless.com,https://www.linkedin.com/in/michael-sinno-458a5a97/,"12240 SW 53rd St, Ste 509, Cooper City, Florida, United States",https://www.facebook.com/gokrazywireless,https://gokrazywireless.com/,yes
GS City Solutions,"GS CITY SOLUTIONS, is a global wireless company specializing in the wholesale marketplace of cellular phone accessories and parts.",yes,no,Gabriela Silva,Manager,786-212-0436,gabriela@gscitysolutions.com,https://www.linkedin.com/in/gabriela-silva-conde-a99a9b98/,"3438West 84th St Unit 102, Miami, Florida 33018, USA",https://www.facebook.com/pages/category/community/GS-City-Solutions-451300731623261/,http://www.gscitysolutions.com/,yes
Go Wireless For All,"Go Wireless for all is a trusted wholesale supplier for iPhone accessories, iPads and Samsung Parts.",yes,no,N/A,N/A,1 305-629-9711,N/A,N/A,"2800 NW 72nd Ave, Miami, FL 33122, United States",https://www.facebook.com/people/Go-Wireless-For-All/100069506027330/,https://www.gowirelessforall.com/,yes
"ifive wireless, inc","ifive wireless, inc is a wholesale distributor of mobile phones and accessories based out of Florida USA.",no,yes,Miko H.,Accounts Manager,1 (954) 613-4000,info@ifivewireless.com,https://www.linkedin.com/in/miko-h-256a9932/,"2300 N 23rd Ave, Hollywood, FL, 33020, USA",N/A,https://ifivewireless.com/,yes
iHeartWireless,iHeartWireless is a Wholesale Cellular and Tablet Accessories Distributor and Supplier. ,yes,no,Lili Xu,CEO - Founder,1.888.542.2031,iheartwireless@gmail.com,https://www.linkedin.com/in/lili-xu-b5070831/,"3701 Vineland Rd,
Orlando, FL. 32811
US",https://www.facebook.com/iHeartWireless/,https://www.iheartwireless.com/,yes
iMonster Parts,iMonster Parts® is one of the largest suppliers of Apple and Samsung replacement parts throughout South Florida and South America.,no,yes,N/A,N/A,1 786-409-4086,sales@imonsterparts.com,N/A,"2475 North West 95th Avenue Miami, Florida 33172, USA",https://www.facebook.com/imonsterpartsflorida/,https://www.imonsterparts.com/,yes
Issoy Inc.,"Issoy is a premium wholesale electronics supplier, located in the United States. We offer a wide range of quality electronics at reasonable prices, including replacement iPhone LCD Screens, laptops & computers, tablets, bulk cell phones (iPhones, Samsung, etc.), phone accessories (cases, wireless headphones, Bluetooth accessories, etc.), gaming keyboards and mice, WiFi routers, navigation systems, home wellness products (blood pressure monitors, foot massagers, etc), and personal protective equipment.",yes,no,Yossi Gershowitz,President,(917) 624-8868,Yossi@issoyinc.com,https://www.linkedin.com/in/yossi-gershowitz-46917891/,"1270 S. 13th Ave, Hollywood, FL 33019, USA",https://www.facebook.com/issoyinc,https://issoyinc.com/,yes
Jomanick USA,"The company specializes in wholesale distribution of original (OEM) mobile accessories and is an Official Authorized Distributor of Samsung, Motorola, Xiaomi, Ballistic, iLuv, Prodigee, Spigen, Naztech, Hypergear and others.",yes,no,Pedro Furiati,Account Executive,1.305.471.5212,sales@jomanickusa.com,https://www.linkedin.com/in/pedro-furiati-b4a91035/,"1550 NW 96th Ave, Doral, FL 33172, USA",https://www.facebook.com/people/Jomanick-USA-Shop/100067640136929/,https://www.jomanickusa.com/,yes
Just in Case,Cell phone accessory store in Florida,no,yes,N/A,N/A,(347) 998-6970,N/A,N/A,"140 University Town Center Drive Sarasota, FL 34243, USA",N/A,https://just-in-case-cell-phone-accessory-store.business.site/,yes
Licensed Accessories USA LLC,"Licensed Accessories USA is an innovative global distributor of mobile accessory brands, connected products and memory devices.",no,yes,N/A,N/A,N/A,contact@licensed-accessories.com,N/A,"113 Wild Forest Drive, 33837 Davenport, Florida, USA",N/A,http://licensed-accessories.com/,yes
Marvol JPS Inc,Original Mobile Phone Accessories Distributors,no,yes,N/A,N/A,1 (305) 358-4305,sales@marvol.com,N/A,"300 NE 75th Street, Unit # 104, Miami, FL 33138, USA",N/A,https://www.marvol.com/,yes
Mercury Cellular Export Corp.,"From our origin as a mobile phone wholesaler, we have grown to deliver a one stop shop on all gadgets and accessories ranging across cellphones, electronics, and beyond.",yes,no,N/A,N/A,1 (305)418-9335,info@mercurycellular.com,N/A,"4805 NW 79th Ave, Ste 12, Doral, Florida,  United States",https://www.facebook.com/MercuryCellularCorp/,https://www.mercurycellular.com/,yes
MIami Digicom Corp,Cellular Phone Wholesaler,yes,no,N/A,N/A,305.599.5281,sales@miamidigicom.com,N/A,"2920 NW 72 AVE, Miami, FL, United States",https://www.facebook.com/people/MIami-Digicom-Corp/100071186513163/,http://www.miamidigicom.com/,yes
NeedMoreParts,International iPhone & iPad parts wholesale distributor.,yes,yes,N/A,N/A,1 888-612-3667,sales@needmoreparts.com,N/A,"10300 NW 19th ST SUITE 111. Doral, FL 33172, USA",https://www.facebook.com/NeedMoreParts/,http://needmoreparts.com/,yes
NewTech Wholesalers,"NewTech Wholesalers is a wholesale distributor focusing on consumer electronics, home goods, health and beauty products, and so much more. ",yes,no,Isser New,Owner,(305) 563-4900,isser@newtechwholesalers.com,https://www.linkedin.com/in/isser-new-18839925,"1108 Kane Concourse Suite #201, Bay Harbor, FL 33154, USA",N/A,http://newtechwholesalers.com/,yes
OMS Mobile,"OMS Mobile offers you mobile phones, cell phones, smartphones, tablets, and accessories from all well-known manufacturers.",yes,no,N/A,N/A,1305-400-8488,info@omscell.com,N/A,"8217 NW 30th Terr, Miami, FL 33122, USA",N/A,https://www.oms-mobile.com/,yes
"PCS Wireless, Inc.","PCS Wireless, Inc. has been an industry leader in mobile phone distribution for over a decade. ",no,yes,Lazer Herson,President,1 973 805 7400,onlinehelp@pcsww.com,https://www.linkedin.com/in/lazerh,"5960 Miami Lakes Drive E, Miami Lakes, FL 33014, USA",https://www.facebook.com/PCSWireless,https://www.pcsww.com/,yes
PhoneSpot,"Cell phone store in Winter Haven, Florida",no,yes,N/A,N/A,863-656-1000,support@phonespotstore.com,N/A,"5999 Dundee Rd Suite #600 Winter Haven, Fl 33884",http://www.facebook.com/phonespotstore/,http://phonespotstore.com/,yes
PhoneStore USA,"PhoneStore USA is a wholesaler and distributor of high-quality New, Refurbished, and Used cellular phones and accessories.",yes,yes,Rayman Hassad,CEO,(954) 571-1970,rayman@thephonestoreusa.com,https://www.linkedin.com/in/rayman-hassad-a1411854/,"1700 Banks Rd Suite 20, Margate, FL 33063, USA",https://www.facebook.com/PhoneStoreUSA,http://phonestoreusa.com/,yes
"Qubocell, Inc.","QUBOCELL,INC is a wholesale distributor of mobile phones and accessories based out of Florida USA.",yes,yes,N/A,N/A,N/A,sales@qubocell.com,N/A,"2300 N 23rd Ave, Hollywood, FL, 33020, USA",N/A,https://qubocell.com/,yes
Reagan Wireless,"For over 23 years, our company has maintained a strong presence in the cellular phone distribution industry, building an impressive track record of corporate accomplishments in Florida and beyond.",no,yes,Daniel Kaufman,President & CEO,1-954-596-2355,sales@reaganwireless.com,https://www.linkedin.com/in/danielkaufmanreaganwireless/,"720 South Powerline Rd. Suite D, Deerfield Beach FL 33442, USA",https://www.facebook.com/reaganwireless,https://www.reaganwireless.com/,yes
Renovo Electronics,"RENOVO ELECTRONICS was founded in 2008 as a reliable provider of wholesale electronics. All our key staff has at least 15 years of industry experience. We provide new, refurbished, surplus, and used/tested wireless devices. Our offerings include cellular phones, smart phones, tablets, routers, air cards, USB modems, and other personal wireless devices

We are a distributor of OEM repair parts and accessories. We specialize in OEM LCD sets, digitizers, lens, housings, buttons, flex cables, and other repair parts from major manufacturers such as Apple, Samsung, LG, Nokia, and Sony Ericsson. We have OEM parts for iPhone, iPod, and iPad devices.",no,yes,Mauricio Mejia,Sales Manager,786-252-6390,mmejia@renovoelectronics.com,N/A,"13412 SW 65th Lane, Miami, FL 33183, USA",N/A,https://renovoelectronics.com/,yes
RepairPartsUSA.com,"RepairPartsUSA.com is your #1 source for wholesale iPhone parts, iPad Parts, iPod Parts & More!",yes,no,N/A,N/A,(888)992.3905,Questions@RepairPartsUSA.com,N/A,"10260 NW 47th St, Sunrise, FL 33351, USA",https://www.facebook.com/Repairpartsusa,https://repairpartsusa.com/,yes
Sentinatech,"Founded in 2016 by women executives and engineers, Sentinatech has grown to become a leading name in the wholesale of consumer electronics and mobile accessories. ",yes,no,Cristina Nordskog do Valle,CEO,1 786-660-2534,mysupport@sentinatech.com,https://www.linkedin.com/in/cristinadovalle,"2323 NW 82nd Ave, Miami FL 33122, United States",https://www.facebook.com/sentinatech/,https://sentinatech.com/,yes
SH Americas,SH AMERICAS is the leading open market distributor in Miami of mobile phone and wearable.,no,yes,Sunil Agrawal,CEO,1 305 592 1367,info@shamericas.com,https://www.linkedin.com/in/sunil-agrawal-55877556/,"8400 NW 33rd Street, Suite: 120, Miami, FL 33122, USA",https://www.facebook.com/shamericasllc,https://shamericas.com/,yes
"Shopsource, LLC","Shopsource is a direct importer & wholesaler specializing in general merchandise. Hats, Flags, Jewelry, Cell Phone Accessories, Outdoors, & more.",yes,no,N/A,N/A,213-440-0885,shopsourcellc@gmail.com,N/A,"9802 NW 80th Ave, G-57, Hialeah Gardens, FL 33016 United States",N/A,https://www.wholesalecentral.com/shopso0001/,yes
Skywire Communications Inc.,"At Skywire Communications we build towards our goal of becoming the most globally trusted and preferred distributor of mobile phones, accessories, wearables, tablets, laptops, gaming and IoT devices in the industry. ",no,yes,Raul Holguin,Managing Director,1-516-326-3800,info@skywirecomm.com,https://www.linkedin.com/in/raulholguin/,"1630 NW 108th Ave, Miami, Fl 33172, USA",https://www.facebook.com/SkywireCommunications,https://skywirecomm.com/,yes
Skycell Trading,We are wholesale distributors of cell phones for Latin America and the Caribbean.,yes,no,N/A,N/A,1 786-447-1987,sales@skycelltrading.com,N/A,"3232 NW 72nd Ave, Miami, FL 33122, United States",https://www.facebook.com/Skycell.Trading.LLC/,https://www.skycelltrading.com/,yes
Smartphones FL,"Smartphones is a leading distributor of cellphone accessories in Florida, focused in prepaid cellphone carriers, MetroPCS.",no,yes,N/A,N/A,(305) 944-9916,N/A,N/A,"15441 W Dixie Hwy, Unit 13, North Miami Beach, Florida 33162, USA",N/A,N/A,yes
Smart Telecomm LLC,"SMART TELECOMM is mainly focused on wholesale of brand new consumer electronics and mobile devices including but not limited to mobile phones, tablets, personal and laptop computers, wearable technologies, audio products, video game consoles and accessories and computer components.",yes,no,Ahmad Al-Thanayyan,Chief Executive Officer,1 305 988 9853,info@smarttelecomm.com,https://www.linkedin.com/in/ahmadal,"11431 Lakeside Dr #1304, Doral, FL 33178, USA",N/A,https://smarttelecomm.com/,yes
Solaris Wireless LLC,We are Miami based wholesale distributors of mobile phones and consumer electronics.,yes,no,Bivek Agrawal,"Director, Business Development",1 305-222-7353,sales@solariswireless.com,https://www.linkedin.com/in/bivek-agrawal-bbb312155/,"2561 NW 74th Ave, Miami, FL 33122, USA",https://www.facebook.com/solaris.wireless/,https://solariswireless.com/,yes
Solution Box L.L.C,"With more than 20 years of experience, Solution Box has been performing as an IT and Telecommunications Distributor delivering great results and increasing its presence and brands that represents.
Today Solution Box is being recognized as an easy Distributor to work with through streamline processes and outstanding customer service, representing TOP vendors like APC, Anviz, Aver, Axis Communications, Cambium Networks, Garmin, Grandstream, Aruba, Yeastar, Linksys, Hikvision, OnSSI, Garnet, Hyperlink - L-Com, iiToKi, Mikrotik, Olex.la, Visionxip, Pelco, Lexar, BELDEN, QNAP, Tp-Link,Ubiquiti Networks, Sangoma, Vxi and Watchguard.",no,yes,Eduardo Bicerne,General Director,1 305-722-3825,eduardo_bicerne@solutionboxusa.com,https://www.linkedin.com/in/eduardobicerne/,"7500 NW 25st, suite 9., 33122 Miami, Florida. USA",https://www.facebook.com/SolutionBoxLLC/,https://www.solutionboxusa.com/,yes
"STRAX Americas, Inc.","STRAX is a global leader in accessories that empower mobile lifestyles. 
In addition to own and licensed brands, STRAX distributes over 40 major mobile accessory brands and several Health & Wellness brands with an initial focus on personal protection equipment.",no,yes,Fredrik Öström,Regional Sales Manager - North America,1 305 209 4299,fredrik.ostrom@strax.com,https://www.linkedin.com/in/fredrik-%C3%B6str%C3%B6m-1878511/,"2606 NW 97th Ave., Doral, FL 33172, USA
",https://www.facebook.com/StraxAmericas/,https://www.strax.com/,yes
Sunset Cell Miami,"Sunset Cell Miami is mobile phones wholesale distributor. Our products include smartphones, tablets and accessories. ",yes,yes,N/A,N/A,1 305-951-9955,sales@sunsetcell.com,N/A,"10482 Northwest 31st Terrace, Miami, Florida 33172, United States",https://www.facebook.com/sunsetcellmiami,https://sunsetcell.com/,yes
Surplus Giant ,"For over 20 years, Surplus Giant has been the one-stop shop for all your wholesale electronics needs. From computer and cell phone accessories to drones and home security, we carry the best products from the world’s most trusted brands and deliver them to you at the absolute lowest price on the market.",yes,no,Nancy Landau,Sales and Director of Logistics,1 561-999-9995,nancy@surplusgiant.com,https://www.linkedin.com/in/nancy-landau-85538430,"900 E Atlantic Ave #12, Delray Beach, FL 33483, United States",https://www.facebook.com/surplusgiant/,https://www.surplusgiant.com/,yes
TG Wireless,TG Wireless is a leading global distributor of Wholesale Phones & Mobile Phone Accessories.,no,yes,Sam Hickson,CEO,1-847-613-4414,s.hickson@tgwirelessgroup.com,https://www.linkedin.com/in/samhickson/,"3401 N 29th AveHollywood, FL 33020, USA",https://www.facebook.com/TGWirelessGroup,https://tgwireless.com/,yes
TM Cell,"Established in 2004, TMCell is a direct distributor of wireless handsets, accessories and data products for all broadband technologies. With over 40 years of combined mobile industry experience plus our regional presence, TMCell is committed to serving Latin America and the Caribbean through long-term relationships with vendors and channel partners.",no,yes,Mario Ego-Aguirre,Managing Director,1 (305) 421-9938,sales@tmcell.com,https://www.linkedin.com/in/mario-ego-aguirre-10b2409/,"8800 NW 23rd Street, Miami, FL 33172, USA",https://www.facebook.com/TMCellUSA,https://tmcell.com/,yes
Todays Closeout - Wholesale Cell Phones,"Global Distribution of Wholesale Cell Phones. Today’s Closeout is an invitation only platform that provides access to a private community dedicated to providing its members with access to coveted wholesale cell phones, bluetooth headsets & mobile accessories merchandise at wholesale prices. ",yes,no,N/A,N/A,1 877-334-1782,info@todayscloseout.com,N/A,"Miami, FL, USA",https://www.facebook.com/TodaysCloseout/,https://www.todayscloseout.com/,yes
Totalynk,"Multi-brand distributor of mobile phones and consumer electronics for the LATAM and Caribbean markets, supplying wholesalers, online resellers, retail chains and network operators for over 13 years.",yes,yes,Andres Rodriguez,CEO,1 (305) 592-8011 ,hello@totalynk.com,https://www.linkedin.com/in/andres-rodriguez-totalynk/,"9655 NW 33rd St, Doral, FL 33172, United States",https://www.facebook.com/Totalynk/,https://totalynk.com/,yes
Ufone Parts Wholesale,We pride ourselves in providing the replacement parts for the latest cellular phones with the lowest prices and the fastest service.,yes,no,N/A,N/A,1 407-222-2662,sales@ufoneparts.com,N/A,"11709 S. Orange Blossom Trail, Suite 106, Orlando, FL 32837, USA",https://www.facebook.com/ufonepartswholesale/,https://ufoneparts.com/,yes
Viper Trade Group,"Viper Trade Group is a distribution and export company of cell phones and electronics for Latin America and the Caribbean. We distribute the most important brands in the market such as Apple, Samsung, Xiaomi, Alcatel, ZTE, Nokia, Motorola, Huawei, CAT, Sony, Nintendo, Lenovo, DELL, HP, Asus, JBL, Amazon, Google, LG, Infinix, Tecno and Umidigi.",no,yes,N/A,N/A,1 (305) 907-9100,sales@vipertrade.com,N/A,"8000 NW 31st Street, Unit 16, Doral, FL 33122, USA",N/A,https://www.vipertrade.com/,yes
Virtual Zone USA,"Virtual Zone is the #1 Worldwide Wholesale Electronics Distributor for Apple, Xiaomi, Samsung, ZTE, Nokia, Amazon, Google, Nintendo, etc.",yes,yes,Maria Lara,Founder and CEO,1-3055990778,info@virtualzoneusa.com,https://www.linkedin.com/in/maria-lara-aa455159/,"2350 NW 102nd Pl Doral, FL 33172, Doral, Florida, USA",https://www.facebook.com/virtualzonedistributor/,https://www.virtualzoneusa.com/,yes
Vitel Mobile Inc,"Established in 2009 by two partners with over 25 years of experience in mobile sales, distribution, and service, Vitel Mobile has become one of the largest open market GSM mobile phone distributors in Latin America. Our primary focus is open market sales to wholesalers and retailers alike.",no,yes,Reinel Perez,Business Development Manager,1 305 418-9790,info@vitelmobile.com,https://www.linkedin.com/in/reinel-perez-74028b173,"8925 NW 26th St, Doral, FL 33172, USA",https://www.facebook.com/VitelMobileInc/,https://vitelmobile.com/,yes
Viva Global,"Viva Global is a wholesale distributor of cellphone parts and it has grown over time as the wireless industry has advanced, gradually gaining its reputation as one of the most premier mobile repair parts distributors.",yes,yes,Sohad Delbani,Chief Executive Officer,1 (786) 871-7660,sohad@vivagl.com,https://www.linkedin.com/in/sohad-delbani,"2944 NW 72ND Ave, Miami, FL 33122, USA",https://www.facebook.com/viva.global.wholesale,https://www.vivagl.com/,yes
Wireless Next Inc,"In 2015 Wireless Next made a humble start in Miami, overcoming imposing challenges and emerged as leading distributors of cellular phones, tablets, accessories, IOT products and gaming consoles in United States and Latin America.",no,yes,Jodie Aboud,VP Marketing,1 305 406 9600,jodie@wirelessnext.com,https://www.linkedin.com/in/jodie-aboud-182b03b3/,"1600 NW 84th Ave Doral, Florida 33126, USA",https://www.facebook.com/wirelessnext,https://www.wirelessnext.com/,yes
WOW Wireless LLC,"WOW Wireless LLC is a wholesale Distributor of cell phones accessories, located in Delray Beach, Florida. We offer individual sales attention to wholesale & retail companies, with exceptional pricing and quality.",yes,yes,Fadi Suliman,CEO,1 561-270-3471,info@fromwow.com,https://www.linkedin.com/in/fadi-suliman-76a07aa9,"2201 NW Corporate Blvd. Suite# 102, Boca Raton, FL 33431, USA",https://www.facebook.com/wowwireless/,https://fromwow.com/,yes
XSI Wireless,"XSI Wireless is a Cell Phone, Tablet & Watch Accessories international Wholesale Company.",yes,no,Udi Yehezkel,Owner,1 954-350-2263,sales@xsiwireless.com,https://www.linkedin.com/in/udi-yehezkel-7b3a65172/,"201 E Hallandale Beach Blvd, Hallandale Beach, Florida, United States,",https://www.facebook.com/people/XSI-Wireless/100063680855414/,https://xsiwireless.com/,yes
Break 'N' Fix,Wholesale Supplier for Cell Phone Repair Part and Accessories.,yes,no,N/A,N/A,678-534-0335,Support@breaknfixatlcom,N/A,"5730 Buford Hwy, Suite J, Norcross GA 30071, USA
",https://www.facebook.com/BNFNorcross,https://breaknfixatl.com/,yes
Cellairis,Retail chain offering a variety of accessories & repair services for smartphones & tablets.,yes,no,N/A,N/A,1 678-422-0508,cc@cellairis.com,N/A,"1000 Southlake Cir, Morrow, GA 30260, United States",https://www.facebook.com/cellairis,https://www.cellairis.com/,yes
Cellphone World USA,Cellphone Replacement Parts and Accessories Wholesale.,yes,no,N/A,N/A,1 404-547-8786,info@cellphoneworldusa.com,N/A,"5226 highway 78, Stone Mountain, Georgia, United States",https://www.facebook.com/cellphoneworldusa/,https://cellphone-world-usa-wholesale-parts.business.site/,yes
CPG Wireless Wholesale,CPG Wireless Wholesale is the source to go to for mobile replacement parts at wholesale prices.,yes,no,Brian Alvarez,Owner,N/A,N/A,https://www.linkedin.com/in/brian-alvarez-48003aa1,"103 Old Winterville RdAthens, GA 30601, USA",N/A,http://cpgwireless.com/,yes
DLS WIRELESS & ACCESSORIES,"Cell phone store in Douglas, Georgia",no,yes,N/A,N/A,1 912-592-4034,N/A,N/A,"133 Bowens Mill Rd SE, Douglas, GA 31533, United States",http://www.facebook.com/pages/DLS-Wireless/267639186759525,N/A,yes
Dream Wireless,"Cell phone store in Norcross, Georgia",no,yes,N/A,N/A,1 626-820-1600,orderdreamwire@gmail.com,N/A,"5707 Buford Hwy NE, Doraville, GA 30340, USA",N/A,https://dreamwirelessga.com/,yes
Excell Wireless,"We are wholesaler of Cellphones, Cellphone Parts and Accessories. ",yes,no,N/A,N/A,(678) 694-1873,exwirelessatl@gmail.com,N/A,"5955 Jimmy Carter Blvd, Ste 120, Norcross, GA 30071, USA",https://www.facebook.com/exwirelessatl/,https://excellatlanta.com/,yes
Georgia Phone Case,GeorgiaPhoneCase.com is the biggest Online wholesale cellphone accessory outfit based in USA,yes,no,N/A,N/A,404-490-7360,info@georgiaphonecase.com,N/A," 5226 Stone Mountain Hwy, Stone Mountain, GA 30087, United States",N/A,https://www.georgiaphonecase.com/,yes
"Himalaya Wholesale, Inc","Himalaya Wholesale is the largest distributor and wholesaler in the Southeastern Region of the U.S.A. Some of our available wireless accessories include: cell phone cases, cell phone chargers, Cables, Bluetooth headsets, Bluetooth Speakers, and Tempered Glasses.",no,yes,N/A,N/A,803-727-9530,sales@himalayawholesale.com,N/A,"3290 Green Pointe PKWY NW, Suite 300, Norcross, GA 30092, USA",N/A,https://www.himalayawholesale.com/,yes
Injured Gadgets,"Injured Gadgets is the largest online wholesale distributor for cell phone, tablet, game console, and MacBook repair parts",yes,no,Aakshay Kripalani,CEO,(770) 674 1150,support@injuredgadgets.com,https://www.linkedin.com/in/aakshay-kripalani-58702987,"6141 Crooked Creek Rd.,  Norcross, GA 30092,  United States",https://www.facebook.com/InjuredGadgets,https://www.injuredgadgets.com/,yes
Lux Wireless,"Lux Wireless is a rapidly growing, premier full service cell phone accessory wholesaler and product manufacturer based out of Atlanta Georgia.",yes,no,Sean Davis,Managing Partner,1-855-589-9473,Sean@LuxWireless.com,https://www.linkedin.com/in/sean-davis-52844561/,"1920 Statham Dr, Statham, Georgia 30666, USA",https://www.facebook.com/LuxWireless/,https://www.luxwireless.com/,yes
Master Wireless,"Mobile phone repair shop in Sandy Springs, Georgia",no,yes,N/A,N/A,404-980-7573,masterwirelessgeorgia@gmail.com,N/A,"5300 Roswell Rd, Sandy Springs, GA 30342, United States",https://www.facebook.com/MasterWirelessGA,https://masterwirelessga.com/,yes
M Wireless ATL,Cell phone store in Georgia,no,yes,N/A,N/A,N/A,mwirelessatl@gmail.com,N/A,"1210 Rockbridge Rd Norcross GA 30093, USA",https://www.facebook.com/mwirelessatl/,https://mwirelessatl.com/#,yes
Neocellularparts.com,Neocellularparts.com is a Leading Wholesaler and Distributor for Cell Phone Repair Parts and Tools. ,yes,yes,N/A,N/A,(678)404-5669,sales@neocellularparts.com,N/A,"5730 Oakbrook Pkwy #120, Norcross, GA 30093, United States",https://www.facebook.com/neocellularparts/,https://neocellularparts.com/c,yes
"Phoneaholics Cell Phone Repair, Parts and Accessories",Mobile phone repair shop in Georgia,no,yes,N/A,N/A,(404)397-2273,sales@phoneaholicsatl.com,N/A,"6000 Dawson Blvd suite c, Norcross, GA 30093, United States",https://www.facebook.com/phoneaholics/,https://phoneaholicsatl.com/,yes
RGI Distribution,"We are a wholesale corporation in the U.S. based in Georgia that was established in 2007 as a small business that has grown tremendously over the years. We were among the early pioneers in cell phones, cell service and phone accessories.",yes,no,N/A,N/A,(678) 835-5533,online@rgidistribution.com,N/A,"1300 Peachtree Industrial Blvd #4110, Suwanee, GA 30024, USA",N/A,https://www.rgidistribution.com/,yes
Trybe Mobile,"Trybe Mobile is a mobile device product manufacturer and distributor through e-commerce and wholesale resources. We supply mobile devices and accessories, innovative electronics, and superior tech gear.",no,yes,N/A,N/A,1 864-777-0745,support@trybemobile.com,N/A,"10800 Alpharetta Hwy, Roswell, Georgia, 30076 USA",https://www.facebook.com/shoptrybemobile,https://trybemobile.com/,yes
Wholecell Phones & Accessories,We offer wholesale and retail customers at one-stop destination for buying the latest cell phone accessories. ,no,yes,N/A,N/A,770-368-8866,info@wholecellusa.com,N/A,"6455 Jimmy Carter Blvd, Norcross GA 30071, USA",https://www.facebook.com/wholecellusa/,https://wholesalecellphoneaccessories.wordpress.com/,yes
